cond,SID,text,article_number
social,s166,"The article is about a probiotic for people who suffer from obesity. By taking this supplement, a person could have their metabolism benefit from it.",74
self,s167,I take my health seriously and exercise regularly. It's nice to see an article confirming the benefits of a healthy lifestyle.,84
self,s168,"I've never had sleep apnea, but it matters to me because I like to be informed in case it does happen",106
social,s170,They has to take this girls initiative as an inspiration for themselves,65
self,s172,I always slept with my dogs as a kid so I know how much dogs prefer the bed to the floor.,38
social,s177,In Australia a permit was granted for a coal mine,21
self,s178,This is about something we can all do to make a positive impact on the environment.,83
self,s184,That parents bear blame for their kids being fat.,92
social,s185,Nutrient levels in cooked tomatoes and spinach.,42
self,s186,After read this article i think i should avoid the meat.,50
self,s187,"The decrease in physical skills as we age, may not be as bad as we previously thought.",76
social,s189,Cancer can strike anyone at any time.,24
social,s191,may the problem will come at future,75
self,s192,Heart monitors can make high-intensity interval training less scary and more fun.,58
self,s193,Most of them can choose in S.U.V.s types so the sales can be high.,103
self,s194,The article is about toxic blooms in florida killing wildlife.,39
self,s195,Climate change is a scam and so are the people who sell it.,45
self,s196,It is about how our walking styles are affected.,36
social,s197,i will tell my friends and family about this,68
self,s198,This article is relevant to my society.,88
self,s200,Article is about the climate change which causes destruction of avalanches.,45
social,s201,Might be better to consider health choices early before you need those meds because staph is no fun. And then you have to worry about antibiotic resistance!,80
self,s202,All people should by a flood insurance,53
social,s204,If kids went outside the United States would save a lot.,12
social,s205,There's a new study about polar bears that is probably faulty since it comes from a Canadian zoologist that shares dubious information.,77
